Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	1.440593319272531e-06
0.7	2.881186638545062e-06
0.8	2.0168306469815435e-05
0.9	8.067322587926174e-05
1.0	0.0002002424713788818
1.1	0.00045522748889011985
1.2	0.0007923263255998922
1.3	0.0012028954215925634
1.4	0.0016768506236332264
1.5	0.0020989444661800778
1.6	0.002515275935449839
1.7	0.003235572595086105
1.8	0.004014933580812545
1.9	0.00568602183116868
2.0	0.007489644666897889
2.1	0.012455369838430302
2.2	0.017107045666361304
2.3	0.022139038130580258
2.4	0.02876720799255317
2.5	0.0336119233252667
2.6	0.03835723771895041
2.7	0.04332872526375992
2.8	0.046807758129803076
2.9	0.051302409285933374
3.0	0.05132545877904174
3.1	0.050090870304425175
3.2	0.051045983675102866
3.3	0.04815183169668435
3.4	0.04696478280160378
3.5	0.04317746296523629
3.6	0.04135943419631437
3.7	0.038011495322325006
3.8	0.037077990851436406
3.9	0.035376650141375546
4.0	0.032561730795517024
4.1	0.030078147913091175
4.2	0.028022421246489276
4.3	0.026701397172716364
4.4	0.024504492360825754
4.5	0.02219666186335116
4.6	0.021499414696823257
4.7	0.020454984540350673
4.8	0.019885950179238016
4.9	0.018693138910880362
5.0	0.017562273155251426
5.1	0.018314262867911685
5.2	0.016216758995050883
5.3	0.01750320882916125
5.4	0.01648903113239339
5.5	0.016829011155741706
5.6	0.016689273603772273
5.7	0.0173015257644631
5.8	0.01813706988964117
5.9	0.018419426180218582
6.0	0.02010347977044817
6.1	0.021830751160255936
6.2	0.023759705614761855
6.3	0.0254826552246118
6.4	0.02894296037750442
6.5	0.032393181377162135
6.6	0.036272699185963056
6.7	0.041499171748283804
6.8	0.046080258503570455
6.9	0.05230362164282778
7.0	0.058815103445939626
7.1	0.06585240181058592
7.2	0.07409691737678263
7.3	0.08425021909101543
7.4	0.09499272347283069
7.5	0.10431912462180105
7.6	0.11703812303765825
7.7	0.1239472085968893
7.8	0.13245823392715142
7.9	0.14385620826923567
8.0	0.14861736918943141
8.1	0.15048725931784715
8.2	0.15424144550787136
8.3	0.15648588989929796
8.4	0.15530172219085592
8.5	0.1466610434618593
8.6	0.13896107217034762
8.7	0.12974847789359978
8.8	0.11762444451860216
8.9	0.11014200281830064
9.0	0.09770103891306305
9.1	0.08782721230276912
9.2	0.07988089955366184
9.3	0.06928101391045455
9.4	0.061503250579702164
9.5	0.05208465145829836
9.6	0.04403749717684201
9.7	0.03912219277148412
9.8	0.03150289470585171
9.9	0.026760461498806537
10.0	0.021891256079665383
10.1	0.018256639135140786
10.2	0.014055869016142086
10.3	0.01113290517133812
10.4	0.008535515416689747
10.5	0.0063270858582449565
10.6	0.004739552020406627
10.7	0.003275909208025735
10.8	0.0021580087922702515
10.9	0.0016883753701874063
11.0	0.0012489944078092842
11.1	0.0009651975239125957
11.2	0.0007318214061904458
11.3	0.0005301383414922915
11.4	0.0003342176500712272
11.5	0.00023337611772215002
11.6	0.000162787045077796
11.7	8.78761924756244e-05
11.8	5.4742546132356175e-05
11.9	1.1524746554180248e-05
12.0	1.2965339873452778e-05
12.1	1.440593319272531e-06
12.2	4.3217799578175925e-06
12.3	1.440593319272531e-06
12.4	1.440593319272531e-06
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
