Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	1.440593319272531e-06
0.3	0.0
0.4	1.728711983127037e-05
0.5	7.923263255998921e-05
0.6	0.00016566823171634107
0.7	0.00043649977573957693
0.8	0.0007865639523228019
0.9	0.0011063756692013037
1.0	0.0014218656061219881
1.1	0.0018007416490906638
1.2	0.0018886178415662882
1.3	0.0020758949730717174
1.4	0.0025512907684316524
1.5	0.0034487804063384397
1.6	0.006180145339679158
1.7	0.01012016806788953
1.8	0.013888760191106473
1.9	0.017853273005744477
2.0	0.021385607824600722
2.1	0.024794051617999534
2.2	0.02607473907883281
2.3	0.025844244147749204
2.4	0.025370288945708544
2.5	0.025198858340715117
2.6	0.024285522176296325
2.7	0.020623533958705552
2.8	0.02081945465012662
2.9	0.018291213374803328
3.0	0.01802038183078009
3.1	0.015506546488649523
3.2	0.014159591735129706
3.3	0.013715888992793768
3.4	0.013167022938150932
3.5	0.012416473818809944
3.6	0.01164575639299914
3.7	0.01158813266022824
3.8	0.011494494094475526
3.9	0.011517543587583886
4.0	0.011227984330410105
4.1	0.010295920452840779
4.2	0.010772756841519987
4.3	0.010883682527103972
4.4	0.010867836000591973
4.5	0.011045028978862495
4.6	0.012001582942859454
4.7	0.013417686175704354
4.8	0.014084680882527536
4.9	0.01672240725011554
5.0	0.01871042603071163
5.1	0.021323662311872004
5.2	0.023497517630654254
5.3	0.027048580162661047
5.4	0.030724974313444543
5.5	0.03371708663757359
5.6	0.03771473309855486
5.7	0.04401300709041436
5.8	0.05151705769050498
5.9	0.05865807877413891
6.0	0.06420004127338035
6.1	0.06998114226362102
6.2	0.07537472365097737
6.3	0.07749959879690436
6.4	0.0775284106632898
6.5	0.07785398475344538
6.6	0.0730654525601835
6.7	0.06878256862198626
6.8	0.06104802309081205
6.9	0.05040780083466514
7.0	0.03875051969511181
7.1	0.0299297668012061
7.2	0.02316906235386012
7.3	0.016794436916079167
7.4	0.012216231347431064
7.5	0.00973841083828231
7.6	0.007577520859373512
7.7	0.005737883190662491
7.8	0.00457676497532883
7.9	0.0035726714317958768
8.0	0.0026377263675880043
8.1	0.0017459991029583077
8.2	0.0012057766082311085
8.3	0.0007289402195519006
8.4	0.0004163314692697615
8.5	0.0002189701845294247
8.6	0.00011956924549962007
8.7	5.618313945162871e-05
8.8	1.8727713150542904e-05
8.9	1.728711983127037e-05
9.0	2.881186638545062e-06
9.1	1.440593319272531e-06
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
