Total number of dumps: 2500

z[A]	mass_density_c12ester[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	2.16175433490036e-05
0.7	0.0001916755510278319
0.8	0.0008892016164223481
0.9	0.002960162269256893
1.0	0.006795114459370132
1.1	0.01110421143360485
1.2	0.015306661860651148
1.3	0.017985796066370994
1.4	0.02229201070149251
1.5	0.06288543360225146
1.6	0.21632819746303564
1.7	0.32886768696839175
1.8	0.235203195145829
1.9	0.17251952528150152
2.0	0.17373010770904573
2.1	0.19307780900640392
2.2	0.2322949149806097
2.3	0.2661321350000267
2.4	0.29326647541169604
2.5	0.3223781004550209
2.6	0.3579879590290562
2.7	0.43679255155351404
2.8	0.5481978406178257
2.9	0.5354146666507815
3.0	0.4914402599702385
3.1	0.48477917427963213
3.2	0.47091800548425106
3.3	0.4230841467311324
3.4	0.3572025216207091
3.5	0.29237006794749076
3.6	0.24489650158352225
3.7	0.20384622793332094
3.8	0.17660812331357642
3.9	0.16673034717263838
4.0	0.16191107617536715
4.1	0.14831940608707028
4.2	0.14385466280072276
4.3	0.15684824752303053
4.4	0.18958297283164838
4.5	0.22449962884895902
4.6	0.2443171514217689
4.7	0.23961029164991246
4.8	0.2166668723088367
4.9	0.18488043656846181
5.0	0.16180298845862215
5.1	0.13528402744762114
5.2	0.11066020440354943
5.3	0.09475978068557898
5.4	0.08450441812081168
5.5	0.07692674859220762
5.6	0.07056542616937415
5.7	0.06730694180190101
5.8	0.06415078047294649
5.9	0.058782423874610586
6.0	0.06264764062541243
6.1	0.06691638485206235
6.2	0.07554610815698459
6.3	0.08121422802309332
6.4	0.08783063745744503
6.5	0.09067838850128711
6.6	0.0924654387514714
6.7	0.09110209235092757
6.8	0.08814337125122729
6.9	0.08662005502990083
7.0	0.08353595217877632
7.1	0.08492235729222575
7.2	0.08149237374751717
7.3	0.08095337633334868
7.4	0.08090149422931109
7.5	0.08069108347404745
7.6	0.08267989746215577
7.7	0.08401153813245439
7.8	0.08244931033309974
7.9	0.08306757207288125
8.0	0.08490073974887674
8.1	0.08510106231724418
8.2	0.08530859073339461
8.3	0.08811887136876508
8.4	0.08819957686393469
8.5	0.0900284210312604
8.6	0.09047230125469326
8.7	0.08813616540344428
8.8	0.08489785740976355
8.9	0.08514285623438557
9.0	0.08161199082071499
9.1	0.07947041285960704
9.2	0.07485578793937307
9.3	0.07428508479495938
9.4	0.06861552375929404
9.5	0.06577641973279157
9.6	0.06441019099313453
9.7	0.060853384527445126
9.8	0.05909804000750604
9.9	0.057201460871020134
10.0	0.055137706065968586
10.1	0.0522222200529663
10.2	0.05016278875658456
10.3	0.04763497735430774
10.4	0.04456096269007943
10.5	0.04247847268079208
10.6	0.038698284933829645
10.7	0.03747184964116285
10.8	0.035464300448818716
10.9	0.03155440744176225
11.0	0.031061527453404975
11.1	0.029578563979663332
11.2	0.02936238854617329
11.3	0.028653333124325973
11.4	0.028509216168665946
11.5	0.029271594864107478
11.6	0.0288349204884576
11.7	0.029335006324597887
11.8	0.028378069739015327
11.9	0.028928596509636615
12.0	0.028728273941269186
12.1	0.029146213112683256
12.2	0.028597127511618563
12.3	0.03096785143222596
12.4	0.029993620811964196
12.5	0.028892567270721613
12.6	0.02894589054431582
12.7	0.02872395043259938
12.8	0.02875277382373139
12.9	0.027153075615905124
13.0	0.026968605912660294
13.1	0.02510373250641958
13.2	0.026152903943624555
13.3	0.02558508313832406
13.4	0.02229201070149251
13.5	0.021884159716974647
13.6	0.020810488397307467
13.7	0.020924340792278884
13.8	0.01901190879067037
13.9	0.01818179512606863
14.0	0.017341593274570688
14.1	0.016904918898920818
14.2	0.016252069089780906
14.3	0.01529369133464175
14.4	0.015197132974349532
14.5	0.01541907308606597
14.6	0.014784958481161861
14.7	0.014492401061172014
14.8	0.014720105851114855
14.9	0.015531484311480787
15.0	0.016050305351856874
15.1	0.01676224311281739
15.2	0.01819764799119123
15.3	0.020432901973478204
15.4	0.02239433374001113
15.5	0.02609669833091715
15.6	0.029260065507654674
15.7	0.03377669089803983
15.8	0.03694438158344716
15.9	0.04167141772909594
16.0	0.04613904335455668
16.1	0.05075366827479065
16.2	0.056431876327795595
16.3	0.06160135152732066
16.4	0.06636729925099764
16.5	0.07132204018658928
16.6	0.0744709956677608
16.7	0.07971108817555929
16.8	0.08789404891793544
16.9	0.09106606311201258
17.0	0.10031548932627292
17.1	0.10684975209589838
17.2	0.11812113919806887
17.3	0.1267033039076233
17.4	0.1356082905978562
17.5	0.14570656568095408
17.6	0.1566349544286537
17.7	0.16552120591465078
17.8	0.1746611032426095
17.9	0.18074572111057569
18.0	0.18553328637760172
18.1	0.1897674425348932
18.2	0.18462679072650015
18.3	0.18063330988516088
18.4	0.17323866889024508
18.5	0.16721890365232586
18.6	0.1621474279826496
18.7	0.15038748440079167
18.8	0.14434898395863666
18.9	0.12996467061420966
19.0	0.12323152644577333
19.1	0.1133652796612881
19.2	0.10293697674972876
19.3	0.090051479744166
19.4	0.07700313057870742
19.5	0.06840943651270019
19.6	0.05934448000168469
19.7	0.053378038037359694
19.8	0.04360402610449687
19.9	0.03684926439271154
20.0	0.02852074552511875
20.1	0.021817865917371036
20.2	0.01608921692988508
20.3	0.010586831562785363
20.4	0.006238823010522439
20.5	0.003943039906858257
20.6	0.002536458419616423
20.7	0.0018346088455521055
20.8	0.0014930516606378487
20.9	0.0008531723775073422
21.0	0.0007854374083471308
21.1	0.000624026418007904
21.2	0.0001974402292542329
21.3	5.04409344810084e-05
21.4	4.32350866980072e-05
21.5	2.017637379240336e-05
21.6	1.44116955660024e-05
21.7	8.64701733960144e-06
21.8	1.297052600940216e-05
21.9	5.7646782264009605e-06
