Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	1.440593319272531e-06
0.2	1.0084153234907717e-05
0.3	5.1861359493811114e-05
0.4	0.00012245043213816514
0.5	0.0002218513711679698
0.6	0.0003587077364988602
0.7	0.0005935244475402828
0.8	0.0009118955710995121
0.9	0.0012158607614660164
1.0	0.0016293110440972324
1.1	0.0021205533659691654
1.2	0.0030727855500083086
1.3	0.004539309549027745
1.4	0.006911966745869603
1.5	0.008927356799531874
1.6	0.012634003410020097
1.7	0.017141619906023847
1.8	0.020640821078536827
1.9	0.026714362512589816
2.0	0.03261215156169156
2.1	0.039871301297505844
2.2	0.04678903041665254
2.3	0.053316358746276375
2.4	0.06034501355100705
2.5	0.06716622291776249
2.6	0.07273699728338937
2.7	0.0764580498270703
2.8	0.0809483792032428
2.9	0.08115438404789876
3.0	0.08008978558495634
3.1	0.07921390484683866
3.2	0.07789432136638502
3.3	0.0762333172692638
3.4	0.07428275391496879
3.5	0.07281911110258789
3.6	0.07087431012156997
3.7	0.06701928239919668
3.8	0.06362092275903279
3.9	0.05666429762026574
4.0	0.05156171608340243
4.1	0.04490617494836334
4.2	0.03922735608379102
4.3	0.035559605492923155
4.4	0.03118308298897321
4.5	0.026145328151477167
4.6	0.02306678022819177
4.7	0.019184381232752297
4.8	0.01792962445166592
4.9	0.01626717976122542
5.0	0.01421865606121988
5.1	0.012863057747784429
5.2	0.011459919854812985
5.3	0.010127371034485893
5.4	0.008946084512682417
5.5	0.007990971142004729
5.6	0.008176807680190886
5.7	0.00718279828989284
5.8	0.006727570801002721
5.9	0.00720008540972411
6.0	0.006371744251142405
6.1	0.005562130805711242
6.2	0.0043938096237812205
6.3	0.0033464982806700894
6.4	0.0027846668861538026
6.5	0.0022703750711735088
6.6	0.0016941377434644964
6.7	0.001418984419483443
6.8	0.0008715589581598812
6.9	0.0008413064984551582
7.0	0.0006698758934617269
7.1	0.0004379403690588494
7.2	0.00035582654986031516
7.3	0.00019736128474033673
7.4	0.00022905433776433242
7.5	0.00011524746554180249
7.6	0.00011524746554180249
7.7	6.0504919409446304e-05
7.8	5.042076617453859e-05
7.9	3.0252459704723152e-05
8.0	2.0168306469815435e-05
8.1	1.440593319272531e-05
8.2	5.762373277090124e-06
8.3	2.881186638545062e-06
8.4	2.881186638545062e-06
8.5	1.440593319272531e-06
8.6	0.0
8.7	0.0
8.8	0.0
8.9	0.0
9.0	0.0
9.1	0.0
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
