Total number of dumps: 2501

z[A]	mass_density_c12ester[g/cm^3]
0.0	6.0504919409446304e-05
0.1	0.00018727713150542904
0.2	0.0005114106283417485
0.3	0.0012821280541525525
0.4	0.00221995430499897
0.5	0.003640379317801686
0.6	0.005033433057538224
0.7	0.007525659499879702
0.8	0.011094009151717762
0.9	0.020168306469815434
1.0	0.04212150806220954
1.1	0.07470772894415419
1.2	0.09750799940828053
1.3	0.10586920303333829
1.4	0.12306556548549451
1.5	0.15549764288227697
1.6	0.18700774055472508
1.7	0.21405920190402464
1.8	0.2273717247674221
1.9	0.24619739826367554
2.0	0.2674980110824392
2.1	0.3020391170986367
2.2	0.337641940391138
2.3	0.3729177490001645
2.4	0.3823853282944235
2.5	0.39137607120000345
2.6	0.39763112739228473
2.7	0.4040475300363246
2.8	0.40088974948047923
2.9	0.3870643753954207
3.0	0.3615514677111042
3.1	0.34346481858763755
3.2	0.31927725675705176
3.3	0.2998148410136799
3.4	0.2903559052793364
3.5	0.2812859297411966
3.6	0.28054258358845197
3.7	0.27882683694519833
3.8	0.27996346507410447
3.9	0.27948662868542523
4.0	0.27651036288780817
4.1	0.27403830475193647
4.2	0.27327479029272206
4.3	0.26045062856455803
4.4	0.2531986817953401
4.5	0.23616798757490018
4.6	0.21881892223090108
4.7	0.21000681289691103
4.8	0.19067116936563516
4.9	0.17992722439050057
5.0	0.17212641156663983
5.1	0.16172100602153433
5.2	0.1499225467366923
5.3	0.14165354108406797
5.4	0.1359617568796222
5.5	0.12559236616749855
5.6	0.1239472085968893
5.7	0.12277312504168221
5.8	0.12183241760419723
5.9	0.12339402076228866
6.0	0.12419931242776201
6.1	0.1285153300123025
6.2	0.12755877604830554
6.3	0.1251112079988615
6.4	0.12308717438528356
6.5	0.11544770801318137
6.6	0.1044646245470476
6.7	0.09286064536030735
6.8	0.08230973988995532
6.9	0.06796431161663948
7.0	0.05612407512553854
7.1	0.04574315966686068
7.2	0.034881086039545796
7.3	0.028732633752890632
7.4	0.02327422566616701
7.5	0.019753415593864947
7.6	0.01505996255967504
7.7	0.011824389964588936
7.8	0.007802253417180028
7.9	0.00511698747005603
8.0	0.0037412208501507636
8.1	0.0024562116093596654
8.2	0.0016134645175852349
8.3	0.000976722270466776
8.4	0.0004681928287635726
8.5	0.00028955925717377874
8.6	9.940093902980464e-05
8.7	4.033661293963087e-05
8.8	8.643559915635185e-06
8.9	5.762373277090124e-06
9.0	0.0
9.1	0.0
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
