Total number of dumps: 2501

z[A]	mass_density_c9ester[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	1.1524746554180248e-05
0.4	9.363856575271452e-05
0.5	0.00028091569725814355
0.6	0.0006151333473293708
0.7	0.0011726429618878402
0.8	0.002159449385589524
0.9	0.004190685965763793
1.0	0.008438995664298487
1.1	0.015277492150885192
1.2	0.026780629805276353
1.3	0.04127732037711583
1.4	0.06585672359054376
1.5	0.09527219857676957
1.6	0.12701279118030123
1.7	0.16006144251773236
1.8	0.19635863179012303
1.9	0.2308795694998507
2.0	0.2719033454527746
2.1	0.30217453287064827
2.2	0.33054845888704004
2.3	0.3474653462352574
2.4	0.3571864699537084
2.5	0.3673512964144954
2.6	0.377122840899121
2.7	0.3834355208241732
2.8	0.3952959256217439
2.9	0.40415413394195077
3.0	0.4161326673917018
3.1	0.43706736950737024
3.2	0.480859965819936
3.3	0.5227308106445921
3.4	0.5547984179315986
3.5	0.5628426910264164
3.6	0.5411487962314914
3.7	0.5068266603998233
3.8	0.47611609201957156
3.9	0.43916631397355044
4.0	0.4151962817341747
4.1	0.3808280469162899
4.2	0.3462350795405986
4.3	0.31921819243096167
4.4	0.30846704448923074
4.5	0.300254221976058
4.6	0.29271991891626264
4.7	0.2827855873865593
4.8	0.2629226867004296
4.9	0.24010945089642985
5.0	0.19670581478006777
5.1	0.13971594306964644
5.2	0.08830116750480978
5.3	0.05214947815766562
5.4	0.029644529323990143
5.5	0.018498658812778568
5.6	0.012613835103550282
5.7	0.007885807829697836
5.8	0.004522022429196475
5.9	0.002326558210625138
6.0	0.0009263015042922377
6.1	0.00038031663628794823
6.2	0.00012245043213816514
6.3	6.770788600580896e-05
6.4	1.440593319272531e-05
6.5	2.881186638545062e-06
6.6	1.440593319272531e-06
6.7	0.0
6.8	0.0
6.9	0.0
7.0	0.0
7.1	0.0
7.2	0.0
7.3	0.0
7.4	0.0
7.5	0.0
7.6	0.0
7.7	0.0
7.8	0.0
7.9	0.0
8.0	0.0
8.1	0.0
8.2	0.0
8.3	0.0
8.4	0.0
8.5	0.0
8.6	0.0
8.7	0.0
8.8	0.0
8.9	0.0
9.0	0.0
9.1	0.0
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
