Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	0.0
0.7	1.440593319272531e-06
0.8	0.0
0.9	1.440593319272531e-06
1.0	0.0
1.1	0.0
1.2	2.881186638545062e-06
1.3	7.202966596362655e-06
1.4	1.440593319272531e-05
1.5	1.440593319272531e-05
1.6	1.2965339873452778e-05
1.7	2.1608899789087965e-05
1.8	4.898017285526606e-05
1.9	5.4742546132356175e-05
2.0	6.194551272871883e-05
2.1	5.042076617453859e-05
2.2	0.00014694051856579816
2.3	0.00023913849099924014
2.4	0.0002362573043606951
2.5	0.0002593067974690556
2.6	0.00027227213734250835
2.7	0.000417772062589034
2.8	0.0004624304554864824
2.9	0.00042353443586612416
3.0	0.0003831978229264933
3.1	0.0005186135949381112
3.2	0.0005632719878355597
3.3	0.00034718298994467997
3.4	0.0004004849427577636
3.5	0.0002679503573846908
3.6	0.00033709883670977224
3.7	0.0003659107030952229
3.8	0.00032269290351704695
3.9	0.00030684637700504914
4.0	0.0003572671431795877
4.1	0.00037167307637231303
4.2	0.0003601483298181328
4.3	0.00019736128474033673
4.4	0.00012389102545743767
4.5	0.00018871772482470156
4.6	0.00010660390562616729
4.7	6.626729268653642e-05
4.8	4.17772062589034e-05
4.9	7.347025928289908e-05
5.0	3.457423966254074e-05
5.1	2.0168306469815435e-05
5.2	1.5846526511997843e-05
5.3	1.5846526511997843e-05
5.4	4.3217799578175925e-06
5.5	1.5846526511997843e-05
5.6	0.0
5.7	4.3217799578175925e-06
5.8	0.0
5.9	2.881186638545062e-06
6.0	0.0
6.1	0.0
6.2	0.0
6.3	0.0
6.4	0.0
6.5	0.0
6.6	0.0
6.7	0.0
6.8	0.0
6.9	0.0
7.0	0.0
7.1	0.0
7.2	0.0
7.3	0.0
7.4	0.0
7.5	0.0
7.6	0.0
7.7	0.0
7.8	0.0
7.9	0.0
8.0	0.0
8.1	0.0
8.2	0.0
8.3	0.0
8.4	0.0
8.5	0.0
8.6	0.0
8.7	0.0
8.8	0.0
8.9	0.0
9.0	0.0
9.1	0.0
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
