Total number of dumps: 2501

z[A]	mass_density_amide[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	2.881186638545062e-06
0.5	4.898017285526606e-05
0.6	0.00021176721793306205
0.7	0.0006929253865700874
0.8	0.0019908999672346374
0.9	0.004040864260559451
1.0	0.007298045755434643
1.1	0.013303879303481822
1.2	0.03563739753216388
1.3	0.1311746652796796
1.4	0.2593428123020374
1.5	0.23059577261595407
1.6	0.23893104556126493
1.7	0.2475112193708521
1.8	0.15486954419507415
1.9	0.11476486677984618
2.0	0.14448430695643852
2.1	0.200687614714537
2.2	0.2573144569085017
2.3	0.31479701153411427
2.4	0.3626016602408539
2.5	0.3907047547132224
2.6	0.4167910185386094
2.7	0.46889727889669686
2.8	0.5284384413755498
2.9	0.4972827296596428
3.0	0.46822884359655437
3.1	0.4721112425919939
3.2	0.45990509539779784
3.3	0.43320369822508137
3.4	0.3953002474017017
3.5	0.3515753589751419
3.6	0.29776775790699367
3.7	0.2371619969651982
3.8	0.18971461540163814
3.9	0.16731915166022737
4.0	0.1566616422842492
4.1	0.1552037618451454
4.2	0.16295847568278946
4.3	0.18492032083509918
4.4	0.19960140735180554
4.5	0.21924533785340575
4.6	0.22399497402704727
4.7	0.21308968260015426
4.8	0.18870187829818955
4.9	0.15933970526477684
5.0	0.13484673765050528
5.1	0.11151776943820589
5.2	0.09468011472254856
5.3	0.08675973265318819
5.4	0.07821125189662499
5.5	0.07188992841165713
5.6	0.06804786602915727
5.7	0.06310663094405249
5.8	0.06485551123364935
5.9	0.06388599192977892
6.0	0.06769492066593549
6.1	0.07279462101616027
6.2	0.07462849631159421
6.3	0.08043264679494323
6.4	0.08503966422997679
6.5	0.09199052699546673
6.6	0.09819804360821208
6.7	0.10713548456097888
6.8	0.11260685798757594
6.9	0.11837931541790096
7.0	0.12154285834702343
7.1	0.1272461672980234
7.2	0.13935291355318974
7.3	0.1417255707500316
7.4	0.1546448116372677
7.5	0.1688303340521443
7.6	0.18292221790126814
7.7	0.19476245439236908
7.8	0.21142147553643667
7.9	0.22973141662439048
8.0	0.24377864208061698
8.1	0.26421489890781713
8.2	0.2804734351091269
8.3	0.3008333404904055
8.4	0.31340539838769693
8.5	0.3231913488055153
8.6	0.33715646044254316
8.7	0.3448722782605668
8.8	0.34518200582421044
8.9	0.3404352508372074
9.0	0.3315309435307839
9.1	0.3288125439373166
9.2	0.32073657778947484
9.3	0.3071877976217167
9.4	0.30310083437494056
9.5	0.2949182643214725
9.6	0.28355774540568934
9.7	0.27536797238562505
9.8	0.26561659620746925
9.9	0.25178545974913374
10.0	0.24047392100620577
10.1	0.21992817908674095
10.2	0.2036437122056843
10.3	0.1891614275670375
10.4	0.17600736996876004
10.5	0.16592465732717157
10.6	0.15747269632299965
10.7	0.14359402028512808
10.8	0.12862769629120577
10.9	0.10595131685253684
11.0	0.09336053124209492
11.1	0.07944439977792227
11.2	0.06868460827627575
11.3	0.057489757592208895
11.4	0.04930718753874092
11.5	0.0419817705102401
11.6	0.0377550697114945
11.7	0.03234276061098759
11.8	0.027613292743815875
11.9	0.023834616467364025
12.0	0.022793067497529986
12.1	0.019525801849419884
12.2	0.013583354407420693
12.3	0.010690643022321453
12.4	0.007735986124493491
12.5	0.0047741262600691685
12.6	0.0029200826581654207
12.7	0.001928954454505919
12.8	0.0011654399952914778
12.9	0.0007058907264435402
13.0	0.0007044501331242676
13.1	0.00041056909599267134
13.2	0.0001901583181439741
13.3	9.507915907198704e-05
13.4	3.889601962035834e-05
13.5	1.5846526511997843e-05
13.6	2.881186638545062e-06
13.7	2.881186638545062e-06
13.8	2.881186638545062e-06
13.9	2.881186638545062e-06
14.0	1.440593319272531e-06
14.1	1.440593319272531e-06
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
