Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	0.0
0.7	2.881186638545062e-06
0.8	1.440593319272531e-05
0.9	5.042076617453859e-05
1.0	0.00014117814528870806
1.1	0.000325574090155592
1.2	0.000648266993672639
1.3	0.0010501925297496753
1.4	0.0014535586591459839
1.5	0.0018972614014819234
1.6	0.0022574097313000563
1.7	0.0027097560335516305
1.8	0.0032269290351704697
1.9	0.004156111726101252
2.0	0.005978462274981004
2.1	0.009538168366903427
2.2	0.014525502438224931
2.3	0.019250648525438833
2.4	0.02424230437671815
2.5	0.02968630653024905
2.6	0.033855383596223754
2.7	0.03706646610488223
2.8	0.03885712360073798
2.9	0.04300603236024288
3.0	0.04644184742670786
3.1	0.04641015437368386
3.2	0.046510995906032936
3.3	0.04668818888430345
3.4	0.04512082335293494
3.5	0.04291239379449016
3.6	0.040763028562135546
3.7	0.03690223846648515
3.8	0.03666886234876301
3.9	0.0331869482960813
4.0	0.03106639493011213
4.1	0.030599642694667833
4.2	0.026591912080451648
4.3	0.025613749216665604
4.4	0.024606774486494103
4.5	0.02227013212263406
4.6	0.020659548791687368
4.7	0.01944368803022135
4.8	0.019185821826071568
4.9	0.017877763092172108
5.0	0.016415560873110493
5.1	0.015677977093642957
5.2	0.016576907324869015
5.3	0.01555552666150479
5.4	0.016347852987104682
5.5	0.01585805125855202
5.6	0.01583932354540148
5.7	0.01638098663344795
5.8	0.017032134813759134
5.9	0.016401154939917766
6.0	0.01781293639280485
6.1	0.01976061856046131
6.2	0.01940911379055881
6.3	0.020070346124104903
6.4	0.020509727086483028
6.5	0.021106132720661853
6.6	0.02231623110885078
6.7	0.021183924759902568
6.8	0.02124442967931201
6.9	0.021908543199496654
7.0	0.022535201293380203
7.1	0.022602909179386014
7.2	0.02297314166243905
7.3	0.02272535961152418
7.4	0.023403879064901538
7.5	0.025073526721938404
7.6	0.02455347253368102
7.7	0.02593067974690556
7.8	0.026931892103799968
7.9	0.027169590001479935
8.0	0.02868365358003537
8.1	0.03021068249846425
8.2	0.031533147165556434
8.3	0.03301839887772641
8.4	0.03439416549763167
8.5	0.03608542205445763
8.6	0.03461601686879966
8.7	0.03298382463806387
8.8	0.032226072552126526
8.9	0.033041448370834774
9.0	0.030771073299661268
9.1	0.03060540506794492
9.2	0.02674461497229454
9.3	0.026273540956892417
9.4	0.023843260027279663
9.5	0.022666295285434006
9.6	0.019554613715805337
9.7	0.01884584180272325
9.8	0.016563941984995563
9.9	0.01521266545151793
10.0	0.01325633972394583
10.1	0.012718998415857177
10.2	0.010746826161773082
10.3	0.010718014295387629
10.4	0.008688218308532636
10.5	0.008421708544467216
10.6	0.007757595024282579
10.7	0.006459620443618029
10.8	0.006743417327514717
10.9	0.005442561560211622
11.0	0.005034873650857496
11.1	0.004258393851769601
11.2	0.003821894076030025
11.3	0.0028610183320752465
11.4	0.0020845385329873525
11.5	0.0015255883251096103
11.6	0.00104154896983404
11.7	0.000783682765684257
11.8	0.0005027670684261133
11.9	0.0004696334220828451
12.0	0.00035006417658322507
12.1	0.0002405790843185127
12.2	0.00023193552440287752
12.3	0.0001671088250356136
12.4	0.0001109256855839849
12.5	6.194551272871882e-05
12.6	5.042076617453859e-05
12.7	2.449008642763303e-05
12.8	1.8727713150542904e-05
12.9	5.762373277090124e-06
13.0	1.440593319272531e-06
13.1	1.440593319272531e-06
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
