Total number of dumps: 2501

z[A]	mass_density_stea[g/cm^3]
0.0	0.0066324916419307324
0.1	0.009585707946439422
0.2	0.01070648954883345
0.3	0.010556667843629108
0.4	0.011164598224362117
0.5	0.013880116631190835
0.6	0.03699587703223787
0.7	0.10213086336982609
0.8	0.16642310261563986
0.9	0.17780667102453143
1.0	0.18154357009472435
1.1	0.17485633590666128
1.2	0.1523830801260098
1.3	0.16436881654235724
1.4	0.22478730035264718
1.5	0.3099551773880393
1.6	0.37518092110474166
1.7	0.42536398938160025
1.8	0.4661154931971816
1.9	0.48403071171565487
2.0	0.49403419172468327
2.1	0.5007271882860235
2.2	0.5015670541911593
2.3	0.48556638419399933
2.4	0.45941385307592564
2.5	0.4166944987862181
2.6	0.39178519970267683
2.7	0.36228472971061393
2.8	0.34100572579163935
2.9	0.31122289950899906
3.0	0.2857099918246825
3.1	0.25989311894999956
3.2	0.24269675649784322
3.3	0.2178969425065667
3.4	0.190406100194889
3.5	0.16842840851606722
3.6	0.15794232974508246
3.7	0.14989373487030686
3.8	0.1454077272740922
3.9	0.13883429995825164
4.0	0.13193241736561695
4.1	0.1263645241866286
4.2	0.12688601896820523
4.3	0.12792036497144293
4.4	0.12693211795442197
4.5	0.12660366267762782
4.6	0.12678517743585618
4.7	0.13054224481251894
4.8	0.14095485332422075
4.9	0.14433016347127633
5.0	0.15728541919149425
5.1	0.16656139957429003
5.2	0.17670317654196865
5.3	0.18821063597631765
5.4	0.19770414595032362
5.5	0.21198474752427215
5.6	0.22433495405039566
5.7	0.2263344975775459
5.8	0.22776932852354134
5.9	0.21654710656640833
6.0	0.19261164856669521
6.1	0.16539307839236
6.2	0.13806070134580226
6.3	0.10960322091689272
6.4	0.08788339544222078
6.5	0.06852902419779429
6.6	0.05407555142553299
6.7	0.04349295290215698
6.8	0.03544291743406208
6.9	0.029219554294804752
7.0	0.023645898742539327
7.1	0.020894365502728787
7.2	0.015620353360872054
7.3	0.012026073029287088
7.4	0.008797703400797349
7.5	0.00628386805866678
7.6	0.004062473160348537
7.7	0.0029604192711050513
7.8	0.0026795035738469077
7.9	0.0012806874608332801
8.0	0.0010069747301714991
8.1	0.000491242321871933
8.2	0.00030684637700504914
8.3	0.00023049493108360497
8.4	0.00010084153234907718
8.5	8.499500583707932e-05
8.6	5.1861359493811114e-05
8.7	5.1861359493811114e-05
8.8	2.7371273066178087e-05
8.9	1.728711983127037e-05
9.0	1.440593319272531e-06
9.1	0.0
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
