Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	1.440593319272531e-06
0.4	2.0168306469815435e-05
0.5	4.033661293963087e-05
0.6	0.00013253458537307287
0.7	0.00031260875028213923
0.8	0.0005978462274981003
0.9	0.0009507915907198706
1.0	0.0013167022938150935
1.1	0.0015918556177961468
1.2	0.0016278704507779601
1.3	0.0017287119831270374
1.4	0.002463414575956028
1.5	0.0032802309879835533
1.6	0.0053330764679469095
1.7	0.008415946171190127
1.8	0.012131236341593984
1.9	0.014231621401093334
2.0	0.01643284799294176
2.1	0.01872483196390436
2.2	0.019976707558352187
2.3	0.021506617663419613
2.4	0.021659320555262502
2.5	0.021264597985781834
2.6	0.019963742218478735
2.7	0.01807080259695463
2.8	0.01615913526227998
2.9	0.015670774127046594
3.0	0.013398958462553812
3.1	0.010340578845738227
3.2	0.00918090122372384
3.3	0.007165511170061569
3.4	0.00578830395683703
3.5	0.005272571548537463
3.6	0.005144358743122208
3.7	0.004618542181587735
3.8	0.004838952959436432
3.9	0.004360675977437951
4.0	0.004053829600432902
4.1	0.004196448339040882
4.2	0.0034891170192780704
4.3	0.00370520601716895
4.4	0.003695121863934043
4.5	0.0036605476242715014
4.6	0.003719611950361675
4.7	0.00421229486555288
4.8	0.004687690660912816
4.9	0.004730908460490992
5.0	0.00465023523461173
5.1	0.004814462873008799
5.2	0.004851918299309884
5.3	0.004206532492275791
5.4	0.004566680822093923
5.5	0.004486007596214662
5.6	0.005181814169423294
5.7	0.004984452884682957
5.8	0.005250962648748376
5.9	0.004834631179478614
6.0	0.005223591375682197
6.1	0.0044874481895339335
6.2	0.003373869553736268
6.3	0.0030583796168155834
6.4	0.0019188703012710114
6.5	0.001140949908863845
6.6	0.000654029366949729
6.7	0.0005546284279199245
6.8	0.0004725146087213902
6.9	0.0003990443494384911
7.0	0.0003515047699024976
7.1	0.0002679503573846908
7.2	0.00019015831814397411
7.3	0.00016999001167415865
7.4	7.491085260217162e-05
7.5	4.898017285526606e-05
7.6	2.0168306469815435e-05
7.7	4.3217799578175925e-06
7.8	7.202966596362655e-06
7.9	1.440593319272531e-06
8.0	0.0
8.1	0.0
8.2	0.0
8.3	0.0
8.4	0.0
8.5	0.0
8.6	0.0
8.7	0.0
8.8	0.0
8.9	0.0
9.0	0.0
9.1	0.0
9.2	0.0
9.3	0.0
9.4	0.0
9.5	0.0
9.6	0.0
9.7	0.0
9.8	0.0
9.9	0.0
10.0	0.0
10.1	0.0
10.2	0.0
10.3	0.0
10.4	0.0
10.5	0.0
10.6	0.0
10.7	0.0
10.8	0.0
10.9	0.0
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
