Total number of dumps: 2500

z[A]	mass_density_stea[g/cm^3]
0.0	0.01062718431037017
0.1	0.014408813226889201
0.2	0.011144564181189656
0.3	0.006803761476709733
0.4	0.00407995101473528
0.5	0.0035813063481515968
0.6	0.00972212982882522
0.7	0.05186913351159924
0.8	0.12278476388322725
0.9	0.1595965578674672
1.0	0.20788726737002802
1.1	0.20925205494012844
1.2	0.15089333491515836
1.3	0.14124470473371972
1.4	0.18696292657774916
1.5	0.2527364639714275
1.6	0.29760727811617593
1.7	0.31302058652401554
1.8	0.33926284298014936
1.9	0.3388362567913956
2.0	0.3139371703620133
2.1	0.3177634755347869
2.2	0.345958516740114
2.3	0.3653134238852553
2.4	0.37914432811994775
2.5	0.373541060883886
2.6	0.3690489353759631
2.7	0.36576883346514094
2.8	0.3722454494525024
2.9	0.3780533627656014
3.0	0.3823811949440719
3.1	0.3823898419614115
3.2	0.3689884062545859
3.3	0.3377582619630587
3.4	0.27623041008312466
3.5	0.218317011451144
3.6	0.17609794929053993
3.7	0.1547859338875356
3.8	0.1412101166643613
3.9	0.1271933015568674
4.0	0.11478483167453932
4.1	0.10716969173746366
4.2	0.10163848297923193
4.3	0.09823011697787236
4.4	0.09657277198778208
4.5	0.08419600783569922
4.6	0.0696445188227066
4.7	0.05964280209990094
4.8	0.055980790256579725
4.9	0.053035039682888835
5.0	0.05348612575410471
5.1	0.05503826536656317
5.2	0.05532361693877001
5.3	0.059082187142383454
5.4	0.061350588024472213
5.5	0.06619003539553582
5.6	0.07038239763568593
5.7	0.07882909240691993
5.8	0.08258189793230694
5.9	0.08874578012588619
6.0	0.09220602823128336
6.1	0.09806294130930673
6.2	0.1086829197718939
6.3	0.11937207437319788
6.4	0.13681599068628722
6.5	0.15514622627668564
6.6	0.17984787247681377
6.7	0.2096382883812973
6.8	0.22774802502953595
6.9	0.2598760179548251
7.0	0.27989674543511567
7.1	0.2912560438802387
7.2	0.2995125042700015
7.3	0.2940447069722602
7.4	0.2883751459365948
7.5	0.2748195050872129
7.6	0.2509782371123752
7.7	0.22233499217494543
7.8	0.1945607724801456
7.9	0.15914835413536452
8.0	0.1266211572428971
8.1	0.09986152091594383
8.2	0.07517140407226852
8.3	0.05906056959903443
8.4	0.0456000459403882
8.5	0.03521209577641366
8.6	0.028206570561779897
8.7	0.02266671478620857
8.8	0.016842948607987004
8.9	0.013188142612448796
9.0	0.009351749252778959
9.1	0.006701438438191117
9.2	0.003934392889518655
9.3	0.0029515152519172918
9.4	0.0019671964447593275
9.5	0.0011428474583839903
9.6	0.0007940844256867322
9.7	0.0005245857186024873
9.8	0.00031561613289545257
9.9	0.0002291459594994382
10.0	0.00015564631211282593
10.1	0.00010664654718841778
10.2	4.467625625460744e-05
10.3	4.6117425811207684e-05
10.4	1.44116955660024e-05
10.5	4.32350866980072e-06
10.6	4.32350866980072e-06
10.7	1.4411695566002401e-06
10.8	1.4411695566002401e-06
10.9	1.4411695566002401e-06
11.0	0.0
11.1	0.0
11.2	0.0
11.3	0.0
11.4	0.0
11.5	0.0
11.6	0.0
11.7	0.0
11.8	0.0
11.9	0.0
12.0	0.0
12.1	0.0
12.2	0.0
12.3	0.0
12.4	0.0
12.5	0.0
12.6	0.0
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
