Total number of dumps: 2501

z[A]	mass_density_c12ester[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	1.440593319272531e-05
0.6	0.0001354157720116179
0.7	0.0006093709740522806
0.8	0.001885736654927743
0.9	0.004761160920195715
1.0	0.00926733682288019
1.1	0.014169675888364618
1.2	0.018220624302158976
1.3	0.022610112145982374
1.4	0.03461169508884183
1.5	0.098081355549351
1.6	0.25629883861841457
1.7	0.32126095375769004
1.8	0.24673906135172205
1.9	0.20185161411650923
2.0	0.21429257802174678
2.1	0.2470026899291489
2.2	0.29075927140873276
2.3	0.3323232698563838
2.4	0.36816955341984225
2.5	0.3885064093080125
2.6	0.4235963813788528
2.7	0.5084660555971554
2.8	0.6044167736273024
2.9	0.589349608101031
3.0	0.5426513350634927
3.1	0.5222194000162503
3.2	0.5044856962560054
3.3	0.4467265477130926
3.4	0.3872631772734803
3.5	0.332926878457159
3.6	0.2884644062511316
3.7	0.2542416713584934
3.8	0.23346831569458346
3.9	0.2202307036837882
4.0	0.20900848172665518
4.1	0.20807641784908584
4.2	0.22233541052324535
4.3	0.24121582656563115
4.4	0.26473927487603227
4.5	0.27802730765300215
4.6	0.2832148841957025
4.7	0.2588818224398702
4.8	0.23362678095970343
4.9	0.20053203063605557
5.0	0.17083852113921016
5.1	0.14221537247858423
5.2	0.12097814576586861
5.3	0.1037241595809415
5.4	0.08906756315066278
5.5	0.08170469069586087
5.6	0.07653007949303395
5.7	0.0715341018617968
5.8	0.06635949065896987
5.9	0.06512490218435331
6.0	0.0638931948963753
6.1	0.06635084709905424
6.2	0.06849156877149322
6.3	0.07208728969639747
6.4	0.07586884715948784
6.5	0.07929169688607939
6.6	0.0826583634732193
6.7	0.08848700404299595
6.8	0.09556752020722044
6.9	0.10239161076061441
7.0	0.11105966076267722
7.1	0.12097958635918787
7.2	0.13082460110309635
7.3	0.13919877006802758
7.4	0.14959409145989816
7.5	0.16172676839481143
7.6	0.17200540172782094
7.7	0.18271333186997366
7.8	0.19558215199103518
7.9	0.20761542798691862
8.0	0.2252093941951941
8.1	0.23999564402420728
8.2	0.2546162256215042
8.3	0.2738827206734551
8.4	0.28843415379142684
8.5	0.30386867061411277
8.6	0.3094091925200349
8.7	0.3147552343278553
8.8	0.31467312050865676
8.9	0.3085563612750256
9.0	0.2989937028216945
9.1	0.2813161822009013
9.2	0.26607902666295574
9.3	0.24698972458927546
9.4	0.2294994810999876
9.5	0.21932601107928504
9.6	0.20440578607157942
9.7	0.19262605449988793
9.8	0.18239928252637225
9.9	0.1707592885066502
10.0	0.15528443507102468
10.1	0.13816874584474773
10.2	0.11827559269891336
10.3	0.0985956473643313
10.4	0.08191501732047465
10.5	0.06627593624645206
10.6	0.05517760531477648
10.7	0.04464830874421355
10.8	0.03934692532929064
10.9	0.030209241905144978
11.0	0.023638695775942964
11.1	0.020037212477761634
11.2	0.015119026885765214
11.3	0.012332919406292138
11.4	0.010248380873304786
11.5	0.007145342863591755
11.6	0.004594052095160101
11.7	0.002666538233973455
11.8	0.0019015831814397407
11.9	0.0012489944078092844
12.0	0.0007505491193409887
12.1	0.0003702324830530405
12.2	0.00020168306469815436
12.3	0.00011812865218034755
12.4	6.914847932508148e-05
12.5	3.457423966254074e-05
12.6	8.643559915635185e-06
12.7	7.202966596362655e-06
12.8	1.440593319272531e-06
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
