Total number of dumps: 2501

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	0.0
0.7	1.440593319272531e-06
0.8	4.3217799578175925e-06
0.9	2.449008642763303e-05
1.0	8.643559915635186e-05
1.1	0.00022041077784869725
1.2	0.00037887604296867565
1.3	0.0006439452137148214
1.4	0.0009608757439547783
1.5	0.0011841677084420204
1.6	0.0015918556177961468
1.7	0.0018108258023255717
1.8	0.0023769789767996764
1.9	0.0031289686894599377
2.0	0.004164755286016887
2.1	0.006857224199737247
2.2	0.00936241598195218
2.3	0.01382393349173921
2.4	0.017488802895968526
2.5	0.01931691581812537
2.6	0.022415632047880583
2.7	0.02715518406828721
2.8	0.028494935855210665
2.9	0.031079360269985586
3.0	0.0323528447642225
3.1	0.03477016035396181
3.2	0.03440136846422804
3.3	0.034384081344396765
3.4	0.03236148832413814
3.5	0.031832790575965116
3.6	0.02965317288390578
3.7	0.029308871080599645
3.8	0.026963585156823965
3.9	0.025370288945708544
4.0	0.025108100961600942
4.1	0.023828854094086936
4.2	0.022827641737192525
4.3	0.02149077113690762
4.4	0.020024247137888182
4.5	0.019669861181347142
4.6	0.0176789612141125
4.7	0.0176789612141125
4.8	0.016490471725712663
4.9	0.01629022925433378
5.0	0.014253230300882422
5.1	0.014619141003977643
5.2	0.014555754897929655
5.3	0.012852973594549523
5.4	0.012746369688923355
5.5	0.013558864320993062
5.6	0.014590329137592194
5.7	0.013864270104678838
5.8	0.015199700111644475
5.9	0.016231164928243606
6.0	0.016048209576695994
6.1	0.017653030534365594
6.2	0.01869890128415745
6.3	0.01910082682023449
6.4	0.020503964713205935
6.5	0.023179146507095023
6.6	0.025533075990786344
6.7	0.029147524628841116
6.8	0.03122053841527429
6.9	0.034152145819993894
7.0	0.03679275337422044
7.1	0.04126579563056165
7.2	0.04781617345329385
7.3	0.050635414579110194
7.4	0.05595264452054511
7.5	0.06150180998638289
7.6	0.06886756362782334
7.7	0.07206135901665055
7.8	0.08005233015865529
7.9	0.08354432836457189
8.0	0.08978785981029905
8.1	0.09417878824744172
8.2	0.09946288454253335
8.3	0.10353112007615899
8.4	0.10556523784297181
8.5	0.10523390137953911
8.6	0.10579717336737467
8.7	0.10502789653488316
8.8	0.10276760561694455
8.9	0.10145666569640654
9.0	0.09521457484399867
9.1	0.09094609683899417
9.2	0.0840528578062751
9.3	0.0806228051130872
9.4	0.07368490768747069
9.5	0.06544327330791254
9.6	0.058499613509018944
9.7	0.05513438751519831
9.8	0.04985749418670303
9.9	0.042710710729792
10.0	0.03901270767921941
10.1	0.034296205151921146
10.2	0.029867821288477384
10.3	0.024943873323203875
10.4	0.021280444512293828
10.5	0.017818698766081935
10.6	0.014913022041109242
10.7	0.011095449745037032
10.8	0.009360975388632908
10.9	0.006886036066122699
11.0	0.005517472412813793
11.1	0.00402933951400527
11.2	0.0026550134874192746
11.3	0.002145043452396799
11.4	0.0014261873860798057
11.5	0.0010732420228580356
11.6	0.000838425311816613
11.7	0.0006151333473293708
11.8	0.0004753957953599352
11.9	0.0003284552767941371
12.0	0.0002232919644872423
12.1	0.00014549992524652563
12.2	8.499500583707932e-05
12.3	4.17772062589034e-05
12.4	1.728711983127037e-05
12.5	5.762373277090124e-06
12.6	4.3217799578175925e-06
12.7	0.0
12.8	0.0
12.9	0.0
13.0	0.0
13.1	0.0
13.2	0.0
13.3	0.0
13.4	0.0
13.5	0.0
13.6	0.0
13.7	0.0
13.8	0.0
13.9	0.0
14.0	0.0
14.1	0.0
14.2	0.0
14.3	0.0
14.4	0.0
14.5	0.0
14.6	0.0
14.7	0.0
14.8	0.0
14.9	0.0
15.0	0.0
15.1	0.0
15.2	0.0
15.3	0.0
15.4	0.0
15.5	0.0
15.6	0.0
15.7	0.0
15.8	0.0
15.9	0.0
16.0	0.0
16.1	0.0
16.2	0.0
16.3	0.0
16.4	0.0
16.5	0.0
16.6	0.0
16.7	0.0
16.8	0.0
16.9	0.0
17.0	0.0
17.1	0.0
17.2	0.0
17.3	0.0
17.4	0.0
17.5	0.0
17.6	0.0
17.7	0.0
17.8	0.0
17.9	0.0
18.0	0.0
18.1	0.0
18.2	0.0
18.3	0.0
18.4	0.0
18.5	0.0
18.6	0.0
18.7	0.0
18.8	0.0
18.9	0.0
19.0	0.0
19.1	0.0
19.2	0.0
19.3	0.0
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
