Total number of dumps: 2500

z[A]	mass_density_pao[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	0.0
0.6	0.0
0.7	1.4411695566002401e-06
0.8	8.64701733960144e-06
0.9	3.6029238915006e-05
1.0	0.00013546993832042257
1.1	0.00027238104619744537
1.2	0.0006614968264795102
1.3	0.0011082593890255846
1.4	0.0016314039380714716
1.5	0.0021689601826833612
1.6	0.0025306937413900215
1.7	0.0031114850726999183
1.8	0.0036937175735664153
1.9	0.004823594505941003
2.0	0.006617850603908302
2.1	0.009722129828825218
2.2	0.015747659744970825
2.3	0.021692484165946817
2.4	0.029274477203220677
2.5	0.03401160153576566
2.6	0.040924891898777016
2.7	0.04472813835864505
2.8	0.04734241993431789
2.9	0.05194839783721225
3.0	0.054565561751998296
3.1	0.05796239839690506
3.2	0.054640502568941506
3.3	0.05543602816418483
3.4	0.053249773946822274
3.5	0.05239371923020173
3.6	0.04871729569131451
3.7	0.044658962219928246
3.8	0.04213835666543442
3.9	0.040530011440268555
4.0	0.038121817111189546
4.1	0.035304330628036076
4.2	0.033380369269974765
4.3	0.03248252063621281
4.4	0.029656387135719737
4.5	0.028000483315186064
4.6	0.027092546494527914
4.7	0.025020144672136764
4.8	0.023609239676225132
4.9	0.022780567181179993
5.0	0.02232227526218112
5.1	0.021016575643901303
5.2	0.020592871794260833
5.3	0.020729782902137853
5.4	0.0204271372952518
5.5	0.021160692599561326
5.6	0.021626190366343202
5.7	0.024113649021035216
5.8	0.023390181903621896
5.9	0.025902140440776114
6.0	0.02772089642120562
6.1	0.031044233418725767
6.2	0.034528981406585155
6.3	0.03697896965280556
6.4	0.04272347150541412
6.5	0.045598604770831594
6.6	0.05293559898348342
6.7	0.058315484938272114
6.8	0.06704753128171297
6.9	0.07564987236505981
7.0	0.08370456901689854
7.1	0.0919120296417369
7.2	0.10141510169795889
7.3	0.10992953143835311
7.4	0.11628653035251676
7.5	0.12919652724054173
7.6	0.13758845756862492
7.7	0.14281557955041402
7.8	0.14797064305437305
7.9	0.15109365748352577
8.0	0.1541792015042069
8.1	0.15925644185210952
8.2	0.15676754202786092
8.3	0.15619107420522083
8.4	0.1501727501368582
8.5	0.14506380405871036
8.6	0.1422866703231417
8.7	0.13591814205252525
8.8	0.12971534828091782
8.9	0.12437005039548753
9.0	0.11749567161050437
9.1	0.11190537490045205
9.2	0.10599657971839106
9.3	0.09899393684287049
9.4	0.09509701436182344
9.5	0.08744008050760636
9.6	0.08109461094989551
9.7	0.07756086319711172
9.8	0.07545099096624897
9.9	0.07093724791497702
10.0	0.06966469519649901
10.1	0.06747411747046664
10.2	0.06693079654762836
10.3	0.06625344685602624
10.4	0.06524318699684947
10.5	0.06659932754961029
10.6	0.06760670506967385
10.7	0.06772632214287168
10.8	0.07168089140618274
10.9	0.07310044341943397
11.0	0.07714580636481086
11.1	0.07958570642413507
11.2	0.08424933110929345
11.3	0.09034115482504265
11.4	0.09462431074725856
11.5	0.09879361427450306
11.6	0.10396020713491491
11.7	0.10728786764110489
11.8	0.1164954999382238
11.9	0.12068209750014752
12.0	0.12625221783640742
12.1	0.13155283946558313
12.2	0.135663055041007
12.3	0.14327963614763925
12.4	0.1483266119348533
12.5	0.14993207482090595
12.6	0.15173353676665627
12.7	0.15172344857976006
12.8	0.15072183573792292
12.9	0.14873013941070137
13.0	0.14674564893126282
13.1	0.13920112630246056
13.2	0.12999637634445488
13.3	0.12444643238198734
13.4	0.11629950087852617
13.5	0.10493732009428987
13.6	0.09468772220774897
13.7	0.08632461527079778
13.8	0.07478228829198644
13.9	0.06469842490445459
14.0	0.05726919584018034
14.1	0.05116728393753492
14.2	0.042575031041084295
14.3	0.038009405885774734
14.4	0.033997189840199664
14.5	0.02895165522254222
14.6	0.024534470531562484
14.7	0.02184236579983324
14.8	0.018580999093246897
14.9	0.01656336171400656
15.0	0.014692723629539448
15.1	0.012869644140440143
15.2	0.011324710375764687
15.3	0.011120064298727451
15.4	0.00924366153603394
15.5	0.008844457568855673
15.6	0.00852451792729042
15.7	0.006870055276313345
15.8	0.006296469792786449
15.9	0.006630821129917704
16.0	0.006522733413172686
16.1	0.005920324538513786
16.2	0.005990941846787198
16.3	0.005008064209185834
16.4	0.005686855070344546
16.5	0.005139210638836456
16.6	0.005244416016468274
16.7	0.005454826771731909
16.8	0.004957623274704826
16.9	0.0044589786081211434
17.0	0.004433037556102339
17.1	0.00378018774696243
17.2	0.003860893242132043
17.3	0.003092749868464115
17.4	0.0025177232153806195
17.5	0.002076725331060946
17.6	0.0017423739939296903
17.7	0.0014800811346284465
17.8	0.0011097005585821848
17.9	0.0009209073466675535
18.0	0.0004972034970270828
18.1	0.0003314689980180552
18.2	0.0002911162504332485
18.3	0.0002550870115182425
18.4	0.00020608724659383434
18.5	0.00011961707319781992
18.6	0.0001152935645280192
18.7	7.2058477830012e-05
18.8	5.188210403760864e-05
18.9	4.179391714140696e-05
19.0	2.3058712905603842e-05
19.1	7.2058477830012e-06
19.2	1.4411695566002401e-06
19.3	2.8823391132004802e-06
19.4	0.0
19.5	0.0
19.6	0.0
19.7	0.0
19.8	0.0
19.9	0.0
