Total number of dumps: 2500

z[A]	mass_density_amide[g/cm^3]
0.0	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.4	0.0
0.5	1.4411695566002401e-06
0.6	2.017637379240336e-05
0.7	0.0002032049074806338
0.8	0.0009050544815449507
0.9	0.0027223692924178535
1.0	0.0057430606830519565
1.1	0.009889305497390847
1.2	0.026861959365471873
1.3	0.11957672045023511
1.4	0.2617567442261884
1.5	0.225873063436399
1.6	0.23289155917704218
1.7	0.27431509574240287
1.8	0.15517793200693086
1.9	0.09135285585377602
2.0	0.11760087698813619
2.1	0.1761440667163511
2.2	0.24579290904772755
2.3	0.3054097700956097
2.4	0.3517404890011942
2.5	0.3872336128411449
2.6	0.40286453785203113
2.7	0.45352885361431255
2.8	0.5281612602724126
2.9	0.506803127443597
3.0	0.46803854871016376
3.1	0.49014464853885487
3.2	0.48835615711911395
3.3	0.46263992755113925
3.4	0.42490578505067517
3.5	0.3761784011724645
3.6	0.3151938702153687
3.7	0.23399405388784136
3.8	0.1824981832914016
3.9	0.15521252007628925
4.0	0.14144790964120035
4.1	0.13720222412745606
4.2	0.14453633600099466
4.3	0.1651522665081611
4.4	0.1968320557013476
4.5	0.22605753313964383
4.6	0.23714012702989967
4.7	0.22968928042227643
4.8	0.20942643645647713
4.9	0.18200818564215754
5.0	0.14798361358038245
5.1	0.11909104630966084
5.2	0.1008112516537434
5.3	0.08861751603534876
5.4	0.0798552051312193
5.5	0.0708421307242414
5.6	0.06417528035540869
5.7	0.05628199469390919
5.8	0.056191201011843356
5.9	0.055761732483976485
6.0	0.05656158158788962
6.1	0.05926233333695847
6.2	0.06202217303784793
6.3	0.0660113303705174
6.4	0.06863714130264303
6.5	0.07134942240816469
6.6	0.07111451177043884
6.7	0.07006389916367727
6.8	0.07153533328096612
6.9	0.0749552286387785
7.0	0.07579110698160663
7.1	0.07800186108143141
7.2	0.08039996722361419
7.3	0.08268422097082559
7.4	0.08583894113022351
7.5	0.0833932763926729
7.6	0.08521491471221558
7.7	0.08417006678368043
7.8	0.08389480339836977
7.9	0.08334427662774849
8.0	0.08218989981291171
8.1	0.08212360601330806
8.2	0.07915191438759839
8.3	0.07715445338215046
8.4	0.07646269199498233
8.5	0.07489181717828806
8.6	0.07118657024826885
8.7	0.06877117007140686
8.8	0.06641629901592207
8.9	0.059528949704929515
9.0	0.056580316792125426
9.1	0.053011980969983226
9.2	0.04989761355817011
9.3	0.04474543239332425
9.4	0.04348729137041224
9.5	0.039477957663950375
9.6	0.037229733155654005
9.7	0.03490656783041441
9.8	0.03398133697507706
9.9	0.03411968925251068
10.0	0.03308348834131511
10.1	0.03370030891154001
10.2	0.03404330726601087
10.3	0.036566795159617894
10.4	0.037989229511982324
10.5	0.04017260139023168
10.6	0.04546601717162437
10.7	0.048130739681778216
10.8	0.051681781469241204
10.9	0.05642322931045599
11.0	0.06102776604379376
11.1	0.0678805272854279
11.2	0.07155695082431511
11.3	0.08010020395584135
11.4	0.08829469405467029
11.5	0.09549910066811491
11.6	0.10617960825207928
11.7	0.11351660246473111
11.8	0.11938360372965068
11.9	0.1308409017046226
12.0	0.13536761528190397
12.1	0.1465193853108766
12.2	0.1538607030321982
12.3	0.16306689415976058
12.4	0.17302249345675502
12.5	0.18242468364401498
12.6	0.1832792971910789
12.7	0.18657236962791043
12.8	0.1861284894044776
12.9	0.18075004461924551
13.0	0.1806217805287081
13.1	0.17430945787079902
13.2	0.17069500462284562
13.3	0.16359292104791967
13.4	0.15658883700284248
13.5	0.14722555839361073
13.6	0.13548146767687536
13.7	0.1219503267099557
13.8	0.10854312632490368
13.9	0.09741297383928002
14.0	0.09052274218917429
14.1	0.0822547524429587
14.2	0.07770353898321514
14.3	0.07491919939986348
14.4	0.06873802317160504
14.5	0.06471427776957718
14.6	0.0587564828225918
14.7	0.05113846054640292
14.8	0.04301602892540396
14.9	0.03588944546801578
15.0	0.029835092160738173
15.1	0.026505990484991613
15.2	0.022855507998123206
15.3	0.018457058511379278
15.4	0.014586077082351026
15.5	0.013913050899418716
15.6	0.012685174437195312
15.7	0.010059363505069677
15.8	0.008832928212402872
15.9	0.007482552337868447
16.0	0.006524174582729287
16.1	0.005745943022165157
16.2	0.005931853894966589
16.3	0.005826648517334771
16.4	0.005705590274580351
16.5	0.005813677991325369
16.6	0.004876917779535212
16.7	0.005003740700516034
16.8	0.004614624920233969
16.9	0.0044834784905833465
17.0	0.004108774405867284
17.1	0.0037383938298210227
17.2	0.003321895827963553
17.3	0.0030999557162471165
17.4	0.0025220467240504203
17.5	0.002559517132522026
17.6	0.0019916963272215314
17.7	0.0019052261538255169
17.8	0.0022121952693813685
17.9	0.001746697502599491
18.0	0.001530522069109455
18.1	0.0012566998533554093
18.2	0.0011068182194689845
18.3	0.0009180250075543528
18.4	0.0010722301501105785
18.5	0.0008459665297243409
18.6	0.0010217892156295703
18.7	0.0006341146049041055
18.8	0.0002983220982162497
18.9	0.0002233812812730372
19.0	3.747040847160624e-05
19.1	2.594105201880432e-05
19.2	2.16175433490036e-05
19.3	1.873520423580312e-05
19.4	4.32350866980072e-06
19.5	5.7646782264009605e-06
19.6	5.7646782264009605e-06
19.7	1.4411695566002401e-06
19.8	0.0
19.9	0.0
